"sample_id","Population.name","population.abbreviation","Latitude","Longitude","Ecotype"
"S0419","Thompson Lagoon","THOM","48.0791","-122.90455","marine-freshwater"
"S0420","Baie de l'Isle Verte","ISLVER","48.04886","-69.35575","marine"
"S0421","Lac Croche","LCRO","47.7774","-68.7935","freshwater"
"S0422","Lac á Foin","LAFO","47.7646","-68.8226","freshwater"
"S0423","UNTeruhldingen Sportsboothafen","UNT","47.72338","9.22697","freshwater"
"S0424","Bohlingen","BOHLIN","47.7219","8.8838","freshwater"
"S0425","Riedgraben in GRAsbeuren","GRA","47.71909","9.31563","freshwater"
"S0426","Iznang","IZNANG","47.7176","8.9618","freshwater"
"S0427","Lipbach in KLUftern","KLU","47.69707","9.39944","freshwater"
"S0428","Village-Neuf_Canal_De_Huningue_France","RIA1","47.60475","7.56095","freshwater"
"S0429","Gippingen_Guntenbach_AG","AGS3","47.58689","8.22866","freshwater"
"S0430","Moehlin_Moehlinbach_AG","AGS1","47.5779","7.83807","freshwater"
"S0431","Wiese_Birs_BS","BSS1","47.57639","7.61889","freshwater"
"S0432","Horgenbach_Gillgrabe_TG","TGS1","47.57602","8.82662","freshwater"
"S0433","ROManshorn","ROM","47.55607","9.38013","freshwater"
"S0434","Salmsacher Aach in NIDeraach","NID","47.54755","9.20839","freshwater"
"S0435","Dorenbach","DORENB","47.54565","7.5644","freshwater"
"S0436","Altenrhein_Seegraben_Constance.Lakeside_SG","CL","47.48561","9.54385","freshwater"
"S0437","ALTenrhein","ALT","47.48497","9.54331","freshwater"
"S0438","Landgraben in DORnbirn","DOR","47.41505","9.69331","freshwater"
"S0439","Rohr_Giessen_AG","AGS2","47.40596","8.08378","freshwater"
"S0440","Duebendorf_Chriesbach_ZH","ZHS2","47.40433","8.61056","freshwater"
"S0441","Bach in Diepoldsau","DIP","47.39361","9.65453","freshwater"
"S0442","Hohenems","HOHENE","47.35515","9.66951","freshwater"
"S0443","Oberriet_Aubach_SG","SGS1","47.32603","9.57817","freshwater"
"S0444","Aubach in OBErriet","OBE","47.31709","9.55585","freshwater"
"S0445","Ruppoldingen_Aare_SO","SOS1","47.31252","7.88602","freshwater"
"S0446","Spiersbach in RUGgell","RUG","47.25473","9.53824","freshwater"
"S0447","Altreu_Selzacherbach_SO","SOS2","47.19154","7.45223","freshwater"
"S0448","Boezingen_Leugene_BE","BES8_09","47.16569","7.30208","freshwater"
"S0449","Kraeiligen_Limpach_BE","BES9","47.15073","7.53715","freshwater"
"S0450","Wengi_Limpach_BE","WB","47.08854","7.38783","freshwater"
"S0451","Moerigen_Biel.Lakeside_BE","BEL3","47.08267","7.19978","freshwater"
"S0452","Le_Landeron_Biel.Lakeside_NE","NEL2","47.05255","7.07445","freshwater"
"S0453","Zihlkanal_BE","BES10","47.03595","7.05919","freshwater"
"S0454","Finsterhennen_Usserkanal_BE","BES7","47.01601","7.19036","freshwater"
"S0455","Gampelen_Islerekanal_BE","BES6_09","47.00647","7.07954","freshwater"
"S0456","Chraebsbach_BE","CHR","46.99191","7.41172","freshwater"
"S0457","Golaten_Oltigematt_BE","BES2","46.98288","7.25211","freshwater"
"S0458","Kerzers_FR","FRS1_09","46.97126","7.15208","freshwater"
"S0459","Wohlen_Wohlensee_BE","BEL1","46.96652","7.35242","freshwater"
"S0460","Eymatt_Gaebelbach_BE","BES3","46.96142","7.37966","freshwater"
"S0461","Eymatt_Jordeweiher_BE","BEP1","46.95711","7.38925","freshwater"
"S0462","Chehalis River","CHRM","46.79835","-123.16313","marine"
"S0463","Villeneuve_Neuchatel.Lakeside_VD","VDL3","46.79535","6.63633","freshwater"
"S0464","Yverdon-les-Bains_Le_Bey_VD","VDS1","46.79197","6.62879","freshwater"
"S0465","Yverdon-les-Bains_Le_Mujan_VD","VDS2","46.64173","6.62675","freshwater"
"S0466","Saint Sulpice","SAINTS","46.51747","6.57825","freshwater"
"S0467","St-Sulpice_Geneva.Lakeside_GE","SS","46.51747","6.57825","freshwater"
"S0468","Les-Grangettes_Geneva.Lakeside_VD","VDL6","46.39459","6.89599","freshwater"
"S0469","LeBouveret_Lakeside.B_VS","VSS4","46.38583","6.85809","freshwater"
"S0470","LeBouveret_Lakeside.A_VS","VSS2","46.38552","6.85835","freshwater"
"S0471","Grand_Fosse_VD","VDS6","46.34789","6.91068","freshwater"
"S0472","Chessel","CHESSE","46.34783","6.9104","freshwater"
"S0473","Canal_des_Chambettes_VS","VSS6","46.33702","6.89393","freshwater"
"S0474","Mies_Geneva.Lakeside_VD","VDL4","46.30508","6.18181","freshwater"
"S0475","Hermance_Geneva.Lakeside_GE","GEL3","46.29926","6.24224","freshwater"
"S0476","Sierre_VS","VSS3","46.27922","7.51548","freshwater"
"S0477","Sion_2007_VS","SI","46.21406","7.31472","freshwater"
"S0478","Thonex_La_Seymaz_GE","GES2","46.19677","6.19172","freshwater"
"S0479","La_Pleine_Allondon_GE","GES1","46.17984","6.00908","freshwater"
"S0480","Black River","BlR","46.1575","-61.275","freshwater"
"S0481","Cherry Burton","CB","46.0252","-64.10182","marine"
"S0482","Skye River","SK","45.97042","-61.1193","marine"
"S0483","Cormoz_France","FRA","45.96767","5.29433","freshwater"
"S0484","Tyndal Road","TYR","45.93551","-64.08928","freshwater"
"S0485","Blair Lake","BLL","45.80386","-64.20407","freshwater"
"S0486","Captain's Pond (South East)","CPSE","45.67189","-61.86123","marine"
"S0487","River Tillard","RT","45.65705","-60.91313","marine"
"S0488","Antigonish Landing","AL","45.63197","-61.96","marine"
"S0489","Rio Boccara (Bacchiglione basin)","BA","45.60976","11.54389","freshwater"
"S0490","Tillamook tidal gate","TILL","45.4753","-123.8915","marine"
"S0491","Porper's Pond","PP","45.43719","-61.32596","marine"
"S0492","Copper Lake","COL","45.40325","-61.9895","freshwater"
"S0493","Goshen Lake","GOL","45.37881","-61.97801","freshwater"
"S0494","Mirna","MIR","45.36351","13.85008","freshwater"
"S0495","Salmon River","SR","45.35266","-61.47283","marine"
"S0496","Valence_France","FRC","44.91436","4.8952","freshwater"
"S0497","Millport Slough","MS","44.88741","-123.99617","marine"
"S0498","Sukko River mid","SUF","44.8009","37.4438","freshwater"
"S0499","Sukko River lower","SUA","44.7864","37.3783","freshwater"
"S0500","Rainbow Haven","RH","44.65477","-63.42121","marine"
"S0501","Yaquina River","YAQU","44.5947","-123.91484","marine"
"S0502","Beaver Creek","BEAV","44.52074","-124.07035","freshwater"
"S0503","Canal Lake","CL","44.49852","-63.90344","marine"
"S0504","Canal_Lake","CL","44.4981","-63.9018","marine"
"S0505","Crooked River","CR","44.28977","-120.84558","freshwater"
"S0506","Riverbend, McKenzie River","McKR","44.07724","-123.0217","freshwater"
"S0507","South Jetty","SJ","44.00833","-123.9419","marine"
"S0508","Cushman Slough","CS","43.99528","-124.122","marine"
"S0509","La_Sorgue_France","FRB","43.90934","5.08576","freshwater"
"S0510","Crane Prairie Reservoir","CRPR","43.79463","-121.77547","freshwater"
"S0511","Paulina Lake","PAUL","43.71767","-121.27542","freshwater"
"S0512","South Twin Lake","STL","43.71231","-121.77028","freshwater"
"S0513","Pony Creek Reservoir","PCR","43.71193","-121.25713","freshwater"
"S0514","Chimikeppu","CHI","43.64592","143.87321","freshwater"
"S0515","Kussharo","KUS","43.60033","144.34811","freshwater"
"S0516","Krka","KR","43.5411","15.5825","freshwater"
"S0517","South Slough; Coos Bay","SOSL","43.2892","-124.321","marine"
"S0518","Castaños","CAS","43.27905","-2.99213","freshwater"
"S0519","Lake Choboshi","CHO","43.25792","145.55628","marine"
"S0520","Winchester Creek","WC","43.24649","-124.31741","freshwater"
"S0521","Guisande","GUI","43.24599","-7.55071","freshwater"
"S0522","Bekanbeushi","BEK","43.0997","144.88067","marine"
"S0523","Norin","NOR","43.09065","17.62137","freshwater"
"S0524","Neretva","NER","43.06065","17.69938","freshwater"
"S0525","Watarichippu","WAT","43.03673","145.05247","marine"
"S0526","Tokotan","TOK","42.99895","144.86814","marine"
"S0527","Clitunno river (Tiber basin)","CL","42.85705","12.74357","freshwater"
"S0528","Perperidere River mouth","PER","42.83847","27.88162","freshwater"
"S0529","Shikotsu","SHI","42.77501","141.4","freshwater"
"S0530","Vaya River mouth","VAY","42.75052","27.88872","freshwater"
"S0531","Nelson Island","NEI","42.74421","-70.82954","marine"
"S0532","Nishitappu","NIS","42.64552","141.47625","freshwater"
"S0533","Rio_Minho_Spain","ESB","42.60367","-7.72114","freshwater"
"S0534","Nera river (Tiber basin)","NE","42.56061","12.6245","freshwater"
"S0535","Gradina Campsite River","GRA","42.40819","27.67221","freshwater"
"S0536","Orlina (Muga drainage)","ORL","42.37858","3.02986","freshwater"
"S0537","Llobregat (Muga drainage)","LLO","42.31629","2.99233","freshwater"
"S0538","Pedret i Marzà (Muga drainage)","PED","42.30733","3.08016","freshwater"
"S0539","Virpazar River (Skadar Lake inflow)","VIR","42.24836","19.08637","freshwater"
"S0540","Skadar Lake","SKA","42.21669","19.18406","freshwater"
"S0541","Giardino creek (Pescara basin)","GI","42.17333","13.83139","freshwater"
"S0542","Vrake River (Skadar Lake basin)","VRA","42.12137","19.48397","freshwater"
"S0543","Antela","ANT","42.10155","-7.72533","freshwater"
"S0544","Abatesco_Corsica_France","COG","41.99611","9.37806","freshwater"
"S0545","Fucino Plain drainage canal","FU","41.99528","13.60611","freshwater"
"S0546","Daró","DAR","41.94268","3.00636","freshwater"
"S0547","Tiber_Italy","ITB","41.9294","12.71775","freshwater"
"S0548","Bugantó (Onyar)","BUG","41.91895","2.84156","freshwater"
"S0549","Lauro creek (Lesina Lake tributary)","LA","41.88556","15.54889","freshwater"
"S0550","Liri river ","LI","41.87748","13.45309","freshwater"
"S0551","Calonge","CAL","41.84999","3.05903","freshwater"
"S0552","Vallcanera (Tordera drainage)","VAL","41.82592","2.74554","freshwater"
"S0553","Reclà (Tordera drainage)","REC","41.78583","2.79026","freshwater"
"S0554","Posta_Fibreno_Inflow_Italy","ITG","41.70733","13.67805","freshwater"
"S0555","Posta_Fibreno_Lake_Italy","ITC_ITF_ITD","41.70208","13.68848","freshwater"
"S0556","Posta_Fibreno_Outflow_Italy","ITE","41.69861","13.67398","freshwater"
"S0557","Mad River","MADR","40.9279","-124.12823","marine-freshwater"
"S0558","Jacoby Creek","JACO","40.84116","-124.07663","freshwater"
"S0559","Aravissos-Loudias River","ARA","40.83754","22.30352","freshwater"
"S0560","Ullals de Baltasar (Ullals de l'Arispe, Delta de l'Ebre)","ULL","40.67186","0.59356","freshwater"
"S0561","Vouga","VOU","40.63563","-8.55541","freshwater"
"S0562","Aisaka","AIS","40.59192","141.22098","freshwater"
"S0563","Bursa Stream","BRS","40.48903","29.33028","freshwater"
"S0564","Peniscola","PEN","40.37703","0.40205","freshwater"
"S0565","Izvorit Stream in Tragjas  ","IZO","40.32427","19.50981","freshwater"
"S0566","Vouga Basin creek","VO","40.28042","-8.44241","freshwater"
"S0567","Rio Ancã (Mondego)","RA","40.1601","-8.3054","freshwater"
"S0568","Mondego","MON","40.06058","-8.62934","freshwater"
"S0569","Majorca","MAL_MAJ","39.79762","3.10636","freshwater"
"S0570","S'Albufera (Mallorca)","MAL_MAJ","39.7716","3.0911","freshwater"
"S0571","Leni_Sardinia_Italy","ITA","39.43506","8.75361","freshwater"
"S0572","Leni river (Flumini Mannu basin, Southern Sardinia)","SA","39.43037","8.74024","freshwater"
"S0573","Gensui","GEN","39.36487","141.8973","freshwater"
"S0574","Valencia","VAL","39.31115","-0.32053","freshwater"
"S0575","Acheron River in Kypseli","ACH","39.28204","20.54546","freshwater"
"S0576","Kampi River","KAM","39.21719","20.9029","freshwater"
"S0577","Meschochori Stream","MES","38.82608","22.44709","freshwater"
"S0578","Tagus","TAG","38.74136","-8.53905","freshwater"
"S0579","Sado","SAD","38.57987","-8.62148","freshwater"
"S0580","Putah_Creek","PC","38.54491","-121.74052","freshwater"
"S0581","Abbott's Lagoon","ABBO","38.11932","-122.95128","marine-freshwater"
"S0582","Tennessee Valley","TENV","37.8437","-122.55046","marine-freshwater"
"S0583","Rodeo Estuary","RODE","37.83152","-122.52881","marine-freshwater"
"S0584","Crissy Fields Marsh","CRFM","37.80372","-122.45375","marine"
"S0585","Lobos Downstream","LOBO","37.78816","-122.48398","freshwater"
"S0586","Mira","MIR","37.64659","-8.56847","freshwater"
"S0587","Ribeira do Torgal River","TOR","37.63778","-8.61944","freshwater"
"S0588","Milos River at Lerni spring","MIL","37.55294","22.71745","freshwater"
"S0589","AizuHakusan_AgaRiver","AIZ","37.51101","139.86628","freshwater"
"S0590","Pamissos Ag. Floros River","PAM","37.16905","22.0248","freshwater"
"S0591","Sorkun Stream","SOR","37.16406","29.5764","freshwater"
"S0592","Mugla River","MUG","36.83492","28.7954","freshwater"
"S0593","Strawberry Pond, Elkhorn Slough","STRA","36.82974","-121.73263","marine-freshwater"
"S0594","Nasu","NAS","36.82091","140.00834","freshwater"
"S0595","Kinugawa","KIN","36.66843","139.94947","freshwater"
"S0596","Carmel River Lagoon","CARM","36.53744","-121.9273","marine-freshwater"
"S0597","Ono","ONO","35.97528","136.49159","freshwater"
"S0598","Shiga","SHI","35.32766","136.3454","freshwater"
"S0599","Gifu","GIF","35.25527","136.56669","freshwater"
